# Table of General Standard Chinese Characters mapped to Unicode
index number	codepoint
1	U+4E00
2	U+4E59
3	U+4E8C
4	U+5341
5	U+4E01
6	U+5382
7	U+4E03
8	U+535C
9	U+516B
10	U+4EBA
11	U+5165
12	U+513F
13	U+5315
14	U+51E0
15	U+4E5D
16	U+5201
17	U+4E86
18	U+5200
19	U+529B
20	U+4E43
21	U+53C8
22	U+4E09
23	U+5E72
24	U+4E8E
25	U+4E8F
26	U+5DE5
27	U+571F
28	U+58EB
29	U+624D
30	U+4E0B
31	U+5BF8
32	U+5927
33	U+4E08
34	U+4E0E
35	U+4E07
36	U+4E0A
37	U+5C0F
38	U+53E3
39	U+5C71
40	U+5DFE
41	U+5343
42	U+4E5E
43	U+5DDD
44	U+4EBF
45	U+4E2A
46	U+5915
47	U+4E45
48	U+4E48
49	U+52FA
50	U+51E1
51	U+4E38
52	U+53CA
53	U+5E7F
54	U+4EA1
55	U+95E8
56	U+4E2B
57	U+4E49
58	U+4E4B
59	U+5C38
60	U+5DF1
61	U+5DF2
62	U+5DF3
63	U+5F13
64	U+5B50
65	U+536B
66	U+4E5F
67	U+5973
68	U+5203
69	U+98DE
70	U+4E60
71	U+53C9
72	U+9A6C
73	U+4E61
74	U+4E30
75	U+738B
76	U+5F00
77	U+4E95
78	U+5929
79	U+592B
80	U+5143
81	U+65E0
82	U+4E91
83	U+4E13
84	U+4E10
85	U+624E
86	U+827A
87	U+6728
88	U+4E94
89	U+652F
90	U+5385
91	U+4E0D
92	U+72AC
93	U+592A
94	U+533A
95	U+5386
96	U+6B79
97	U+53CB
98	U+5C24
99	U+5339
100	U+8F66
101	U+5DE8
102	U+7259
103	U+5C6F
104	U+6208
105	U+6BD4
106	U+4E92
107	U+5207
108	U+74E6
109	U+6B62
110	U+5C11
111	U+66F0
112	U+65E5
113	U+4E2D
114	U+8D1D
115	U+5188
116	U+5185
117	U+6C34
118	U+89C1
119	U+5348
120	U+725B
121	U+624B
122	U+6C14
123	U+6BDB
