# [常用漢字表（平成22年内閣告示第2号）](https://www.bunka.go.jp/kokugo_nihongo/sisaku/joho/joho/kijun/naikaku/kanji/)
# [漢字辞典 >常用漢字一覧](https://kanjitisiki.com/zyouyou/)
04E00: 一
04E01: 丁
04E03: 七
04E07: 万
04E08: 丈
04E09: 三
04E0A: 上
04E0B: 下
04E0D: 不
04E0E: 与
04E14: 且
04E16: 世
04E18: 丘
04E19: 丙
04E21: 両
04E26: 並
04E2D: 中
04E32: 串
04E38: 丸
04E39: 丹
04E3B: 主
04E3C: 丼
04E45: 久
04E4F: 乏
04E57: 乗
04E59: 乙
04E5D: 九
04E5E: 乞
04E71: 乱
04E73: 乳
04E7E: 乾
04E80: 亀
04E86: 了
04E88: 予
04E89: 争
04E8B: 事
04E8C: 二
04E92: 互
04E94: 五
04E95: 井
04E9C: 亜
04EA1: 亡
04EA4: 交
04EAB: 享
04EAC: 京
04EAD: 亭
04EBA: 人
04EC1: 仁
04ECA: 今
04ECB: 介
04ECF: 仏
04ED5: 仕
04ED6: 他
04ED8: 付
04ED9: 仙
04EE3: 代
04EE4: 令
04EE5: 以
04EEE: 仮
04EF0: 仰
04EF2: 仲
04EF6: 件
04EFB: 任
04F01: 企
04F0E: 伎
04F0F: 伏
04F10: 伐
04F11: 休
04F1A: 会
04F1D: 伝
04F2F: 伯
04F34: 伴
04F38: 伸
04F3A: 伺
04F3C: 似
04F46: 但
04F4D: 位
04F4E: 低
04F4F: 住
04F50: 佐
04F53: 体
04F55: 何
04F59: 余
04F5C: 作
04F73: 佳
04F75: 併
04F7F: 使
04F8B: 例
04F8D: 侍
04F9B: 供
04F9D: 依
04FA1: 価
04FAE: 侮
04FAF: 侯
04FB5: 侵
04FB6: 侶
04FBF: 便
04FC2: 係
04FC3: 促
04FCA: 俊
04FD7: 俗
04FDD: 保
04FE1: 信
04FEE: 修
04FF3: 俳
04FF5: 俵
04FF8: 俸
04FFA: 俺
05009: 倉
0500B: 個
0500D: 倍
05012: 倒
05019: 候
0501F: 借
05023: 倣
05024: 値
0502B: 倫
05039: 倹
05049: 偉
0504F: 偏
0505C: 停
05065: 健
05074: 側
05075: 偵
05076: 偶
0507D: 偽
0508D: 傍
05091: 傑
05098: 傘
05099: 備
050AC: 催
050B2: 傲
050B5: 債
050B7: 傷
050BE: 傾
050C5: 僅
050CD: 働
050CF: 像
050D5: 僕
050DA: 僚
050E7: 僧
05100: 儀
05104: 億
05112: 儒
0511F: 償
0512A: 優
05143: 元
05144: 兄
05145: 充
05146: 兆
05148: 先
05149: 光
0514B: 克
0514D: 免
05150: 児
0515A: 党
05165: 入
05168: 全
0516B: 八
0516C: 公
0516D: 六
05171: 共
05175: 兵
05177: 具
05178: 典
0517C: 兼
05185: 内
05186: 円
0518A: 冊
0518D: 再
05192: 冒
05197: 冗
05199: 写
051A0: 冠
051A5: 冥
051AC: 冬
051B6: 冶
051B7: 冷
051C4: 凄
051C6: 准
051CD: 凍
051DD: 凝
051E1: 凡
051E6: 処
051F6: 凶
051F8: 凸
051F9: 凹
051FA: 出
05200: 刀
05203: 刃
05206: 分
05207: 切
05208: 刈
0520A: 刊
05211: 刑
05217: 列
0521D: 初
05224: 判
05225: 別
05229: 利
05230: 到
05236: 制
05237: 刷
05238: 券
05239: 刹
0523A: 刺
0523B: 刻
05247: 則
0524A: 削
0524D: 前
05256: 剖
0525B: 剛
0525D: 剝
05263: 剣
05264: 剤
0526F: 副
05270: 剰
05272: 割
05275: 創
05287: 劇
0529B: 力
0529F: 功
052A0: 加
052A3: 劣
052A9: 助
052AA: 努
052B1: 励
052B4: 労
052B9: 効
052BE: 劾
052C3: 勃
052C5: 勅
052C7: 勇
052C9: 勉
052D5: 動
052D8: 勘
052D9: 務
052DD: 勝
052DF: 募
052E2: 勢
052E4: 勤
052E7: 勧
052F2: 勲
052FE: 勾
05302: 匂
05305: 包
05316: 化
05317: 北
05320: 匠
05339: 匹
0533A: 区
0533B: 医
0533F: 匿
05341: 十
05343: 千
05347: 升
05348: 午
0534A: 半
05351: 卑
05352: 卒
05353: 卓
05354: 協
05357: 南
05358: 単
0535A: 博
05360: 占
05370: 印
05371: 危
05373: 即
05374: 却
05375: 卵
05378: 卸
05384: 厄
05398: 厘
0539A: 厚
0539F: 原
053B3: 厳
053BB: 去
053C2: 参
053C8: 又
053CA: 及
053CB: 友
053CC: 双
053CD: 反
053CE: 収
053D4: 叔
053D6: 取
053D7: 受
053D9: 叙
053E3: 口
053E4: 古
053E5: 句
053EB: 叫
053EC: 召
053EF: 可
053F0: 台
053F2: 史
053F3: 右
053F7: 号
053F8: 司
05404: 各
05408: 合
05409: 吉
0540C: 同
0540D: 名
0540E: 后
0540F: 吏
05410: 吐
05411: 向
0541B: 君
0541F: 吟
05426: 否
0542B: 含
05438: 吸
05439: 吹
05442: 呂
05448: 呈
05449: 呉
0544A: 告
05468: 周
0546A: 呪
05473: 味
0547C: 呼
0547D: 命
0548C: 和
054B2: 咲
054BD: 咽
054C0: 哀
054C1: 品
054E1: 員
054F2: 哲
054FA: 哺
05504: 唄
05506: 唆
05507: 唇
05510: 唐
0552F: 唯
05531: 唱
0553E: 唾
05546: 商
0554F: 問
05553: 啓
05584: 善
05589: 喉
0559A: 喚
0559C: 喜
0559D: 喝
055A9: 喩
055AA: 喪
055AB: 喫
055B6: 営
055C5: 嗅
055E3: 嗣
05606: 嘆
05631: 嘱
05632: 嘲
05668: 器
05674: 噴
05687: 嚇
056DA: 囚
056DB: 四
056DE: 回
056E0: 因
056E3: 団
056F0: 困
056F2: 囲
056F3: 図
056FA: 固
056FD: 国
0570F: 圏
05712: 園
0571F: 土
05727: 圧
05728: 在
05730: 地
05742: 坂
05747: 均
0574A: 坊
05751: 坑
0576A: 坪
05782: 垂
0578B: 型
057A3: 垣
057CB: 埋
057CE: 城
057DF: 域
057F7: 執
057F9: 培
057FA: 基
057FC: 埼
05800: 堀
05802: 堂
05805: 堅
05806: 堆
05815: 堕
05824: 堤
0582A: 堪
05831: 報
05834: 場
05840: 塀
05841: 塁
0584A: 塊
05851: 塑
05854: 塔
05857: 塗
0585A: 塚
0585E: 塞
05861: 塡
05869: 塩
0587E: 塾
05883: 境
05893: 墓
05897: 増
0589C: 墜
058A8: 墨
058B3: 墳
058BE: 墾
058C1: 壁
058C7: 壇
058CA: 壊
058CC: 壌
058EB: 士
058EE: 壮
058F0: 声
058F1: 壱
058F2: 売
05909: 変
0590F: 夏
05915: 夕
05916: 外
0591A: 多
0591C: 夜
05922: 夢
05927: 大
05929: 天
0592A: 太
0592B: 夫
0592E: 央
05931: 失
05947: 奇
05948: 奈
05949: 奉
0594F: 奏
05951: 契
05954: 奔
05965: 奥
05968: 奨
0596A: 奪
0596E: 奮
05973: 女
05974: 奴
0597D: 好
05982: 如
05983: 妃
05984: 妄
0598A: 妊
05996: 妖
05999: 妙
059A5: 妥
059A8: 妨
059AC: 妬
059B9: 妹
059BB: 妻
059C9: 姉
059CB: 始
059D3: 姓
059D4: 委
059EB: 姫
059FB: 姻
059FF: 姿
05A01: 威
05A18: 娘
05A20: 娠
05A2F: 娯
05A46: 婆
05A5A: 婚
05A66: 婦
05A7F: 婿
05A92: 媒
05A9B: 媛
05AC1: 嫁
05AC9: 嫉
05ACC: 嫌
05AE1: 嫡
05B22: 嬢
05B50: 子
05B54: 孔
05B57: 字
05B58: 存
05B5D: 孝
05B63: 季
05B64: 孤
05B66: 学
05B6B: 孫
05B85: 宅
05B87: 宇
05B88: 守
05B89: 安
05B8C: 完
05B97: 宗
05B98: 官
05B99: 宙
05B9A: 定
05B9B: 宛
05B9C: 宜
05B9D: 宝
05B9F: 実
05BA2: 客
05BA3: 宣
05BA4: 室
05BAE: 宮
05BB0: 宰
05BB3: 害
05BB4: 宴
05BB5: 宵
05BB6: 家
05BB9: 容
05BBF: 宿
05BC2: 寂
05BC4: 寄
05BC6: 密
05BCC: 富
05BD2: 寒
05BDB: 寛
05BDD: 寝
05BDF: 察
05BE1: 寡
05BE7: 寧
05BE9: 審
05BEE: 寮
05BF8: 寸
05BFA: 寺
05BFE: 対
05BFF: 寿
05C01: 封
05C02: 専
05C04: 射
05C06: 将
05C09: 尉
05C0A: 尊
05C0B: 尋
05C0E: 導
05C0F: 小
05C11: 少
05C1A: 尚
05C31: 就
05C3A: 尺
05C3B: 尻
05C3C: 尼
05C3D: 尽
05C3E: 尾
05C3F: 尿
05C40: 局
05C45: 居
05C48: 屈
05C4A: 届
05C4B: 屋
05C55: 展
05C5E: 属
05C64: 層
05C65: 履
05C6F: 屯
05C71: 山
05C90: 岐
05CA1: 岡
05CA9: 岩
05CAC: 岬
05CB3: 岳
05CB8: 岸
05CE0: 峠
05CE1: 峡
05CF0: 峰
05CF6: 島
05D07: 崇
05D0E: 崎
05D16: 崖
05D29: 崩
05D50: 嵐
05DDD: 川
05DDE: 州
05DE1: 巡
05DE3: 巣
05DE5: 工
05DE6: 左
05DE7: 巧
05DE8: 巨
05DEE: 差
05DF1: 己
05DFB: 巻
05DFE: 巾
05E02: 市
05E03: 布
05E06: 帆
05E0C: 希
05E1D: 帝
05E25: 帥
05E2B: 師
05E2D: 席
05E2F: 帯
05E30: 帰
05E33: 帳
05E38: 常
05E3D: 帽
05E45: 幅
05E55: 幕
05E63: 幣
05E72: 干
05E73: 平
05E74: 年
05E78: 幸
05E79: 幹
05E7B: 幻
05E7C: 幼
05E7D: 幽
05E7E: 幾
05E81: 庁
05E83: 広
05E8A: 床
05E8F: 序
05E95: 底
05E97: 店
05E9C: 府
05EA6: 度
05EA7: 座
05EAB: 庫
05EAD: 庭
05EB6: 庶
05EB7: 康
