# format: {code point}: {pinyins}  # {hanzi}
# e.g.:
# U+4E2D: zhōng,zhòng  #中
U+39D1: huī,wéi  #㧑
U+3AF0: lǎng  #㫰
U+3B0A: huǎn  #㬊
U+4056: lōu,lóu,lǘ,lou  #䁖
U+40CE: zhǎ  #䃎
U+43F2: dié  #䏲
U+4723: xīn,xī  #䜣
U+4D18: tī,tí  #䴘
U+4E00: yī,yí,yì,yi  #一
U+4E01: dīng,zhēng,ding  #丁
U+4E07: mò,wàn  #万
U+4E08: zhàng,zhang  #丈
U+4E09: sān,sā,sàn  #三
U+4E0A: shàng,shǎng,shang,shāng  #上
U+4E0B: xià,xia  #下
U+4E0D: bù,bú,fōu,fū,bu,fǒu  #不
U+4E0E: yǔ,yú,yù  #与
U+4E14: qiě,jū  #且
U+4E19: bǐng  #丙
U+4E1A: yè,niè  #业
U+4E1B: cóng,cōng  #丛
U+4E1E: chéng  #丞
U+4E24: liàng,liǎng  #两
U+4E26: bìng,bàng,bīng  #並
U+4E27: sàng,sāng,sang  #丧
U+4E2A: ge,gè,gě  #个
U+4E2E: jí,jǐ  #丮
U+4E32: chuàn,guàn  #串
U+4E33: chàn,chǎn  #丳
U+4E34: lín,lìn  #临
U+4E3B: zhǔ,zhu  #主
U+4E3E: jǔ,ju  #举
U+4E42: ài,yì  #乂
U+4E43: nǎi  #乃
U+4E47: zhé,tuō  #乇
U+4E48: yāo,me,mó,ma,má,mǒ,mì,mo,sī  #么
U+4E49: yì,chā,chá,chǎ,yi  #义
U+4E4B: zhī  #之
U+4E4D: zhà  #乍
U+4E4E: hū,hú,hu  #乎
U+4E50: lè,yuè,yào,lào  #乐
U+4E54: qiáo,jiāo  #乔
U+4E56: guāi,guai  #乖
U+4E59: yǐ,zhé  #乙
U+4E5C: miē,niè,miè  #乜
U+4E5D: jiǔ  #九
U+4E5E: qǐ,qì,qi  #乞
U+4E5F: yě  #也
U+4E61: xiāng,xiàng  #乡
U+4E71: luàn,làn  #乱
U+4E78: nǎ,ná  #乸
U+4E7E: gān,qián,gàn  #乾
U+4E7F: chì,chí,zhì,luàn  #乿
U+4E82: luàn,làn  #亂
U+4E83: lǐn,lín,lìn  #亃
U+4E88: yǔ,yú  #予
U+4E8B: shì,shi  #事
U+4E8C: èr,ér  #二
U+4E8E: yú,xū,wū  #于
U+4E8F: yú,xū,kuī  #亏
U+4E95: jǐng  #井
U+4E98: gèng,hù,xuān,gèn,huán  #亘
U+4E99: gèn,gèng,hù,huán,xuān  #亙
U+4E9A: yà,yā,yǎ  #亚
U+4E9E: yà,yā,yǎ  #亞
U+4EA2: kàng,gāng  #亢
U+4EA5: hài  #亥
U+4EA8: hēng,pēng,héng  #亨
U+4EAC: jīng,yuán  #京
U+4EAE: liàng,liáng,liang  #亮
U+4EB2: qìng,qīn,xīn  #亲
U+4EB3: bò,bó  #亳
U+4EB6: dǎn,dàn  #亶
U+4EBA: rén,ren  #人
U+4EBF: yì,yī  #亿
U+4EC0: shén,shí,shé,shi  #什
U+4EC2: lè  #仂
U+4EC3: dīng  #仃
U+4EC5: fù,jǐn,jìn,nú  #仅
U+4EC6: pū,pú,fù  #仆
U+4EC7: chóu,qiú  #仇
U+4ECB: jiè  #介
U+4ECE: cōng,cóng,zòng,zōng  #从
U+4ED1: lún,lùn  #仑
U+4ED3: cāng,chuàng  #仓
U+4ED4: zǐ,zǎi,zī,zi  #仔
U+4ED6: tā,tuō  #他
U+4ED7: zhàng,zhang  #仗
U+4ED8: fù,fu  #付
U+4ED9: xiān  #仙
U+4EE1: yì,qì,gē  #仡
U+4EE4: lìng,líng,lǐng  #令
U+4EE5: yǐ  #以
U+4EE9: shàng,cháng  #仩
U+4EEC: men,mén,mèn  #们
U+4EF1: qián,jīng,jīn  #仱
U+4EF3: pǐ,pí  #仳
U+4EF4: è,wò  #仴
U+4EF6: jiàn  #件
U+4EF7: jiè,jià,jie,ga  #价
U+4EFB: rèn,rén  #任
U+4EFD: fèn,bīn,fen  #份
U+4F01: qì,qǐ  #企
U+4F08: xǐn  #伈
U+4F09: kàng  #伉
U+4F0B: jí  #伋
U+4F0D: wǔ,wu  #伍
U+4F0E: jì,qí  #伎
U+4F0F: fú,fu  #伏
U+4F10: fā,fá  #伐
U+4F11: xiū,xǔ,xiǔ  #休
U+4F13: bēi,pī  #伓
U+4F14: chén,dǎn  #伔
U+4F15: fū,fú  #伕
U+4F17: zhòng,pān,yín  #众
U+4F18: yōu  #优
U+4F19: huǒ,huo,huō  #伙
U+4F1A: kuài,huǐ,huì,guì,hui,huě  #会
U+4F1B: yǔ,kòu,qū  #伛
U+4F25: chāng,chàng,chéng  #伥
U+4F27: cāng,chen,chéng  #伧
U+4F2A: wěi,wéi,wèi  #伪
U+4F2C: chǐ,ze  #伬
U+4F2D: xián,xuán  #伭
U+4F2F: bó,bo,bǎi,bà  #伯
U+4F30: gū,gù,gǔ,gu  #估
U+4F32: nǐ,nì  #伲
U+4F34: bàn  #伴
U+4F3A: sì,cì  #伺
U+4F3C: sì,shì  #似
U+4F3D: jiā,qié,gā  #伽
U+4F3F: yì,zhì  #伿
U+4F41: yǐ,ǎi,chì  #佁
U+4F46: dàn  #但
U+4F48: bù,bu  #佈
U+4F4D: wèi  #位
U+4F4F: zhù,zhu  #住
U+4F52: yāng,yǎng  #佒
U+4F53: tǐ,bèn,tī  #体
U+4F54: zhàn,diān,zhān  #佔
U+4F55: hé,hē,hè  #何
U+4F57: tuó,tā,tuō  #佗
U+4F59: yú,xú  #余
U+4F5B: fó,bì,fú,bó,fù  #佛
U+4F5C: zuò,zuó,zuō,zuo  #作
U+4F5D: kòu,gōu  #佝
U+4F61: xuān,xiān  #佡
U+4F62: qú,jǔ  #佢
U+4F63: yòng,yōng,yóng  #佣
U+4F6A: huái,huí  #佪
U+4F6C: lǎo  #佬
U+4F6E: gé  #佮
U+4F70: bǎi,bó,mò  #佰
U+4F75: bìng,bīng  #併
U+4F77: héng,hěn  #佷
U+4F79: guǐ  #佹
U+4F7B: tiāo,tiáo  #佻
U+4F7C: jiǎo  #佼
U+4F7F: shǐ,shì,shi  #使
U+4F85: gāi,kāi  #侅
U+4F86: lái,lài,lai  #來
U+4F89: kuǎ  #侉
U+4F8B: lì  #例
U+4F8D: shì,shi  #侍
U+4F8F: zhū  #侏
U+4F92: ān  #侒
U+4F94: móu  #侔
U+4F97: tóng,dòng,tǒng  #侗
U+4F9A: xùn  #侚
U+4F9D: yī  #依
U+4F9E: rú,rǔ  #侞
U+4FA0: xiá,jiá  #侠
U+4FA5: jiǎo,yáo,jiāo  #侥
U+4FA8: qiáo,jiǎo  #侨
U+4FB2: zhèn,zhēn  #侲
U+4FB3: cuò,zuò  #侳
U+4FB4: hào,chǒu  #侴
U+4FB5: qīn  #侵
U+4FBB: tuì,tuō,tuò,tuó  #侻
U+4FBF: biàn,pián,bian  #便
U+4FC2: xì,xi,jì  #係
U+4FC3: cù  #促
U+4FC4: é,è  #俄
U+4FC7: wǎng,kuǎng,guàng  #俇
U+4FC9: wú,wǔ,wù  #俉
U+4FCA: jùn,zùn  #俊
U+4FCD: liáng  #俍
U+4FCF: qiào,xiào  #俏
U+4FD0: lì,li  #俐
U+4FD4: xiàn,qiàn  #俔
U+4FD6: pǎi,pěi  #俖
U+4FDA: lǐ  #俚
U+4FDB: miǎn,fǔ  #俛
U+4FDE: yú,shū,yù,shù  #俞
U+4FDF: sì,qí  #俟
U+4FE0: xiá,jiá  #俠
U+4FE6: chóu,dào  #俦
U+4FE9: liǎng,liǎ  #俩
U+4FEA: lì,lí  #俪
